,"Monocot-eudicot","O.sativa(Beijing)",,"A.thaliana",
"IPR001633","Domain of unknown function 2","16","177","2","398"
"IPR001652","NAD-dependent glycerol-3-phosphate dehydrogenase","16","178","9","160"
"IPR001882","Biotin-requiring enzymes attachment site.","16","179","10","144"
"IPR003753","Exonuclease VII, large subunit","16","180","11","133"
"IPR000092","Polyprenyl synthetase","15","181","9","152"
"IPR000166","Histone-fold/TFIID-TAF/NF-Y domain","15","182","5","230"
"IPR000558","Histone H2B","15","183","0","Inf"
"IPR001012","UBX domain","15","184","6","211"
"IPR001541","SUR2-type hydroxylase/desaturase catalytic domain","15","185","10","143"
"IPR001663","Bacterial ring hydroxylating dioxygenases alpha-subunit","15","186","6","217"
"IPR002645","STAS domain","15","187","8","180"
"IPR002934","DNA polymerase beta-like domain","15","188","4","282"
"IPR003034","SAP domain","15","189","10","148"
"IPR003280","Two pore domain of K+ channel","15","190","4","286"
"IPR003347","jmjC domain","15","191","9","165"
"IPR003606","N-terminal to some SET domains","15","192","11","132"
"IPR004331","SPX, N-terminal","15","193","9","168"
"IPR004365","OB-fold nucleic acid binding domain","15","194","11","135"
"IPR000095","PAK-box /P21-Rho-binding","14","195","6","205"
"IPR000173","Glyceraldehyde 3-phosphate dehydrogenase","14","196","10","138"
"IPR000467","D111/G-patch domain","14","197","6","207"
"IPR000782","Beta-Ig-H3/Fasciclin domain","14","198","10","140"
"IPR000792","Bacterial regulatory protein, LuxR family","14","199","1","479"
"IPR000838","Sigma factor, ECF subfamily","14","200","4","264"
"IPR000842","Phosphoribosyl pyrophosphate synthetase","14","201","9","157"
"IPR001206","DAG-kinase catalytic domain (presumed)","14","202","8","175"
"IPR001739","Methyl-CpG binding domain","14","203","5","239"
"IPR002028","Tryptophan synthase alpha chain","14","204","3","334"
"IPR004156","Organic Anion Transporter Polypeptide (OATP) N-terminus","14","205","3","359"
"IPR000262","FMN-dependent alpha-hydroxy acid dehydrogenases","13","206","8","170"
"IPR000352","Class I peptide chain release factor","13","207","5","232"
"IPR000403","Phosphatidylinositol 3- and 4-kinase","13","208","2","381"
"IPR000843","Bacterial regulatory protein, LacI family","13","209","0","Inf"
"IPR001745","GHMP kinases putative ATP-binding domain","13","210","6","219"
"IPR001951","Histone H4","13","211","16","97"
"IPR002625","Smr domain","13","212","10","147"
"IPR002710","Dilute (DIL) domain","13","213","3","338"
"IPR002925","Dienelactone hydrolase","13","214","7","199"
"IPR002999","Tudor domain","13","215","8","182"
"IPR003105","G9a domain","13","216","10","150"
"IPR004099","Pyridine nucleotide-disulphide oxidoreductase dimerisation domain","13","217","4","294"
"IPR000164","Histone H3","12","218","4","257"
"IPR000287","Arginase family","12","219","3","304"
"IPR000313","PWWP domain","12","220","4","260"
"IPR000922","D-galactoside/L-rhamnose binding SUEL lectin domain","12","221","6","210"
"IPR001093","IMP dehydrogenase / GMP reductase","12","222","3","319"
"IPR001305","DnaJ central domain (CXXCXGXG)","12","223","6","214"
"IPR001977","Uncharacterized protein family UPF0038","12","224","11","131"
"IPR002014","VHS domain","12","225","10","145"
"IPR003035","RWP-RK domain","12","226","5","249"
"IPR003583","Helix-hairpin-helix DNA-binding motif class 1","12","227","4","289"
"IPR004009","Myosin N-terminal SH3-like domain","12","228","2","439"
"IPR000198","RhoGAP domain","11","229","9","153"
"IPR000326","PA-phosphatase related phosphoesterase","11","230","9","155"
"IPR000433","ZZ Zinc finger","11","231","6","206"
"IPR000535","Major sperm protein (MSP) domain","11","232","11","126"
"IPR001715","Calponin homology (CH) domain","11","233","4","274"
"IPR001727","Uncharacterized protein family UPF0016","11","234","7","196"
"IPR001781","LIM domain","11","235","9","161"
"IPR002108","Cofilin/tropomyosin-type actin-binding protein","11","236","7","198"
"IPR002867","Cysteine-rich domain (C6HC)","11","237","8","181"
"IPR003018","GAF domain","11","238","4","283"
"IPR000551","Bacterial regulatory proteins, MerR family","10","239","0","Inf"
"IPR001920","Aspartate and glutamate racemases","10","240","7","197"
"IPR001943","UvrB/uvrC motif","10","241","6","220"
"IPR002125","Cytidine and deoxycytidylate deaminase zinc-binding region","10","242","6","221"
"IPR003121","BAF60b domain of the SWIB complex","10","243","6","223"
"IPR003349","jmjN domain","10","244","4","287"
"IPR003607","Metal dependent phosphohydrolase HD domain","10","245","2","427"
"IPR003864","Domain of unknown function DUF221","10","246","9","167"
"IPR003890","Middle domain of eIF4G","10","247","5","253"
"IPR004152","GAT domain","10","248","8","187"
"IPR000244","Ribosomal protein L9","9","249","3","303"
"IPR000612","Uncharacterized protein family UPF0057","9","250","4","263"
"IPR000741","Fructose-bisphosphate aldolase, class-I","9","251","8","172"
"IPR001030","Aconitate hydratase, N-terminal","9","252","2","395"
"IPR001078","2-Oxo acid dehydrogenase acyltransferase catalytic domain","9","253","6","212"
"IPR001828","Receptor family ligand binding region","9","254","4","275"
"IPR001880","Uncharacterized protein family UPF0003","9","255","3","330"
"IPR002202","Hydroxymethylglutaryl-coenzyme A reductase","9","256","4","279"
"IPR002346","FAD binding domain in molybdopterin dehydrogenase","9","257","2","407"
"IPR003103","Domain present in Hsp70 regulator","9","258","4","284"
"IPR003106","Homeobox associated leucine zipper","9","259","2","415"
"IPR003111","ATP-dependent protease La (LON) domain","9","260","3","345"
"IPR003130","Dynamin GTPase effector domain","9","261","8","184"
"IPR003216","Linker histone, N-terminus","9","262","7","201"
"IPR003231","Acyl carrier protein (ACP)","9","263","4","285"
"IPR003305","Cellulose binding domain","9","264","3","347"
"IPR003892","CUE domain","9","265","8","185"
"IPR004146","DC1 domain","9","266","4","295"
"IPR004154","Anticodon binding domain","9","267","8","188"
"IPR004157","Organic Anion Transporter Polypeptide (OATP) C-terminus","9","268","2","444"
"IPR004274","NLI interacting factor","9","269","4","298"
"IPR000266","Ribosomal protein S17","8","270","2","372"
"IPR000291","D-alanine--D-alanine ligase","8","271","1","461"
"IPR000308","14-3-3 proteins","8","272","8","171"
"IPR000485","Bacterial regulatory proteins, AsnC family","8","273","1","468"
"IPR000569","HECT domain (Ubiquitin-protein ligase)","8","274","6","209"
"IPR000756","Diacylglycerol kinase accessory domain (presumed)","8","275","7","192"
"IPR000808","Mrp family","8","276","2","391"
"IPR000904","SEC7-like domain","8","277","0","Inf"
"IPR001145","Bacterial outer membrane protein","8","278","0","Inf"
"IPR001304","C-type lectin domain","8","279","4","268"
"IPR001331","Guanine-nucleotide dissociation stimulators CDC24 family","8","280","7","194"
"IPR001608","Uncharacterized pyridoxal-5'-phosphate dependent enzyme family UPF0001","8","281","1","496"
"IPR001660","SAM domain (Sterile alpha motif)","8","282","6","216"
"IPR001683","PX (Bem1/NCF1/PI3K) domain","8","283","6","218"
"IPR001823","Aldose 1-epimerase","8","284","5","241"
"IPR001852","Uncharacterized protein family UPF0019","8","285","3","329"
"IPR001884","Eukaryotic initiation factor 5A hypusine (eIF-5A)","8","286","5","242"
"IPR001950","Translation initiation factor SUI1","8","287","5","244"
"IPR002013","Synaptojanin N-terminal domain","8","288","5","246"
"IPR002075","Nuclear transport factor 2 (NTF2)","8","289","3","335"
"IPR002197","Helix-turn-helix Fis-type","8","290","0","Inf"
"IPR002478","PUA domain","8","291","5","248"
"IPR002888","[2Fe-2S] binding domain","8","292","2","413"
"IPR003453","Domain of unknown function DUF140","8","293","3","350"
"IPR003584","Helix-hairpin-helix motif class 2 (Pol1-type)","8","294","5","250"
"IPR003602","DNA topoisomerase I DNA-binding domain","8","295","2","426"
"IPR003725","Molybdenum-binding protein, N-terminal","8","296","0","Inf"
"IPR003891","MA3 domain","8","297","7","202"
"IPR004176","Clp amino terminus","8","298","6","225"
"IPR004193","Isoamylase N-terminus","8","299","3","361"
"IPR000061","SWAP / SURP","7","300","3","300"
"IPR000189","SLT domain","7","301","0","Inf"
"IPR000285","Bacterial regulatory proteins, IclR family","7","302","0","Inf"
"IPR000297","PpiC-type peptidyl-prolyl cis-trans isomerase","7","303","2","374"
"IPR000529","Ribosomal protein S6","7","304","4","262"
"IPR000543","YER057c/YjgF/UK114 family","7","305","2","383"
"IPR000772","Ricin B lectin domain","7","306","3","312"
"IPR001691","Glutamine synthetase","7","307","3","324"
"IPR001731","Delta-aminolevulinic acid dehydratase","7","308","2","402"
"IPR001822","Site-specific recombinase","7","309","3","328"
"IPR001900","Ribonuclease II domain","7","310","3","332"
"IPR002020","Citrate synthase","7","311","3","333"
"IPR002121","HRDC domain","7","312","2","406"
"IPR002205","DNA gyrase/topoisomerase IV, subunit A","7","313","3","336"
"IPR002376","Formyl transferase N-terminus","7","314","2","408"
"IPR002687","Putative snoRNA binding domain","7","315","6","222"
"IPR003169","GYF domain","7","316","1","535"
"IPR003843","UPF0010_DUF","7","317","3","356"
"IPR004217","Tim10/DDP zinc finger","7","318","4","297"
"IPR000114","Ribosomal protein L16","6","319","3","301"
"IPR000127","Ubiquitin-activating enzyme repeat domain","6","320","3","302"
"IPR000206","Ribosomal protein L7/L12 C-terminal domain","6","321","5","231"
"IPR000218","Ribosomal protein L14b/L23e family","6","322","2","370"
"IPR000294","Vitamin K-dependent carboxylation/gamma-carboxyglutamic (GLA) domain","6","323","4","259"
"IPR000365","4-hydroxybenzoyl-CoA thioesterase family active site","6","324","0","Inf"
"IPR000409","Beige/BEACH domain","6","325","1","466"
"IPR000517","Ribosomal protein L30","6","326","5","233"
"IPR000692","Fibrillarin","6","327","2","386"
"IPR000716","Thyroglobulin type-1 repeat","6","328","1","476"
"IPR000793","ATP synthase alpha and beta subunit, C-terminal","6","329","5","236"
"IPR000961","Protein kinase C-terminal domain","6","330","3","316"
"IPR001075","Nitrogen-fixing protein NifU","6","331","5","237"
"IPR001094","Flavodoxin-like domain","6","332","4","265"
"IPR001104","Steroid 5-alpha reductase, C-terminal domain","6","333","3","320"
"IPR001212","Somatomedin B domain","6","334","4","266"
"IPR001293","TRAF-type zinc finger","6","335","2","397"
"IPR001452","Src homology 3 (SH3) domain","6","336","4","270"
"IPR001468","Indole-3-glycerol phosphate synthase","6","337","3","321"
"IPR001606","AT-rich interaction domain (ARID)","6","338","5","238"
"IPR001772","Kinase associated domain 1","6","339","5","240"
"IPR001910","Inosine-uridine preferring nucleoside hydrolase","6","340","5","243"
"IPR002004","Poly-adenylate binding protein, unique domain","6","341","5","245"
"IPR002715","Nascent polypeptide Associated Complex (NAC) domain","6","342","4","280"
"IPR002893","MYND zinc finger (ZnF) domain","6","343","3","340"
"IPR003131","K+ channel tetramerisation domain","6","344","1","532"
"IPR003582","ShK toxin domain","6","345","3","351"
"IPR003604","U1-like zinc finger","6","346","5","251"
"IPR003611","Intron-encoded nuclease repeat 2","6","347","2","429"
"IPR003736","DUF157","6","348","3","354"
"IPR003811","DUF205","6","349","1","551"
"IPR003832","DUF212","6","350","3","355"
"IPR004022","DDT domain","6","351","1","555"
"IPR004095","TGS domain","6","352","4","293"
"IPR004160","Elongation factor Tu C-terminal domain","6","353","4","296"
"IPR004167","E3 binding domain","6","354","6","224"
"IPR004179","Sec63 domain","6","355","2","445"
"IPR000002","Cdc20/Fizzy","5","356","4","254"
"IPR000004","Saposin type B","5","357","4","255"
"IPR000118","Granulin","5","358","5","229"
"IPR000181","Formylmethionine deformylase","5","359","1","456"
"IPR000214","Formamidopyrimidine-DNA glycolase, zinc binding domain","5","360","2","369"
"IPR000347","Metallothionein (family 15)","5","361","3","306"
"IPR000358","Ribonucleotide reductase","5","362","2","377"
"IPR000374","Phosphatidate cytidylyltransferase","5","363","2","378"
"IPR000544","Lipoate-protein ligase B","5","364","2","384"
"IPR000568","ATP synthase A subunit","5","365","3","307"
"IPR000702","Ribosomal protein L6","5","366","5","234"
"IPR000704","Casein kinase II, regulatory subunit","5","367","0","Inf"
"IPR000705","Galactokinase","5","368","2","387"
"IPR000711","ATP synthase, delta (OSCP) subunit","5","369","1","474"
"IPR000911","Ribosomal protein L11","5","370","3","315"
"IPR001222","TFIIS zinc ribbon domain","5","371","4","267"
"IPR001347","SIS domain","5","372","1","491"
"IPR001368","TNFR/CD27/30/40/95 cysteine-rich region","5","373","7","195"
"IPR001381","Dehydroquinase class I active site","5","374","1","494"
"IPR001645","Folylpolyglutamate synthetase","5","375","3","323"
"IPR001651","Gastrin/cholecystokinin family","5","376","2","399"
"IPR001694","Respiratory-chain NADH dehydrogenase subunit 1","5","377","3","325"
"IPR001748","G10 protein","5","378","3","326"
"IPR001754","Orotidine 5'-phosphate decarboxylase","5","379","2","403"
"IPR001765","Prokaryotic-type carbonic anhydrase","5","380","3","327"
"IPR001783","Riboflavin synthase alpha chain family lumazine binding domain","5","381","0","Inf"
"IPR001890","Uncharacterized protein family UPF0044","5","382","3","331"
"IPR001983","Translationally controlled tumor protein","5","383","1","507"
"IPR001999","Osteonectin domain","5","384","4","277"
"IPR002044","Glycosyl hydrolase, starch-binding domain","5","385","5","247"
"IPR002059","Cold-shock DNA-binding domain","5","386","2","405"
"IPR002369","Integrins, beta chain","5","387","1","516"
"IPR002547","Putative tRNA binding domain","5","388","2","409"
"IPR002735","Domain found in IF2B/IF5","5","389","3","339"
"IPR002781","Domain of unknown function DUF81","5","390","4","281"
"IPR002936","Toprim domain","5","391","1","528"
"IPR002994","SURF1 family","5","392","3","343"
"IPR003348","Anion-transporting ATPase","5","393","2","422"
"IPR003395","SMC domain N terminal domain","5","394","0","Inf"
"IPR003405","SMC family, C-terminal domain","5","395","2","423"
"IPR003603","Motif occurring C-terminal to leucine-rich repeats","5","396","4","290"
"IPR003618","Domain in central region of transcription elongation factor S-II (and elsewhere)","5","397","4","292"
"IPR003651","Iron-sulfur cluster loop (FCL)","5","398","2","431"
"IPR003781","DUF184","5","399","1","548"
"IPR003877","SPla and the RYanodine Receptor (SPRY)","5","400","5","252"
"IPR003953","Fumarate reductase/succinate dehydrogenase flavoprotein, N-terminal","5","401","2","438"
"IPR004343","Plus-3","5","402","2","450"
"IPR004361","Glyoxalase I","5","403","3","363"
"IPR000020","Anaphylatoxin/Fibulin","4","404","1","453"
"IPR000049","Electron transfer flavoprotein beta-subunit","4","405","1","454"
"IPR000131","ATP synthase gamma subunit","4","406","4","256"
"IPR000139","Antitermination protein NusB","4","407","2","365"
"IPR000170","High potential iron-sulfur protein","4","408","0","Inf"
"IPR000196","Ribosomal protein L19e","4","409","1","457"
"IPR000197","TAZ finger","4","410","2","368"
"IPR000235","Ribosomal protein S7","4","411","4","258"
"IPR000257","Uroporphyrinogen decarboxylase (URO-D)","4","412","2","371"
"IPR000267","Asparaginase/glutaminase family","4","413","0","Inf"
"IPR000398","Thymidylate synthase","4","414","1","465"
"IPR000573","Aconitate hydratase, C-terminal","4","415","1","472"
"IPR000592","Ribosomal protein S27E","4","416","3","308"
"IPR000652","Triosephosphate isomerase","4","417","3","310"
"IPR000683","Oxidoreductase, N-terminal","4","418","1","473"
"IPR000730","Proliferating cell nuclear antigen","4","419","2","388"
"IPR000738","WHEP-TRS domain","4","420","2","389"
"IPR000740","GrpE protein","4","421","5","235"
"IPR000783","RNA polymerase H/23 kD subunit","4","422","3","313"
"IPR000923","Type-1 copper (blue) domain","4","423","1","481"
"IPR001052","Rubredoxin","4","424","3","318"
"IPR001374","R3H domain","4","425","1","492"
"IPR001460","Penicillin binding protein transpeptidase domain","4","426","0","Inf"
"IPR001640","Prolipoprotein diacylglyceryl transferase","4","427","1","497"
"IPR001655","Neutrophil cytosol factor 1","4","428","4","272"
"IPR001684","Ribosomal protein L27","4","429","2","400"
"IPR001725","RNA polymerases K/14 to 18 Kd subunits","4","430","2","401"
"IPR001741","Glucokinase regulatory protein","4","431","0","Inf"
"IPR001829","Gram-negative pili assembly chaperone","4","432","0","Inf"
"IPR001886","Laminin N-terminal (Domain VI)","4","433","1","504"
"IPR001949","Respiratory-chain NADH dehydrogenase 51 Kd subunit","4","434","2","404"
"IPR002192","Pyruvate phosphate dikinase, PEP/pyruvate binding domain","4","435","4","278"
"IPR002350","Kazal-type serine protease inhibitor domain","4","436","1","515"
"IPR002500","Phosphoadenosine phosphosulfate reductase","4","437","0","Inf"
"IPR002501","Pseudouridylate synthase, TruB family, N-terminus","4","438","3","337"
"IPR002909","IPT/TIG domain","4","439","3","341"
"IPR002932","Ferredoxin-dependent glutamate synthase","4","440","1","527"
"IPR003097","FAD-binding domain","4","441","3","344"
"IPR003135","ATP-grasp domain","4","442","2","418"
"IPR003141","PHP domain N-terminal region","4","443","1","533"
"IPR003148","KTN NAD-binding domain","4","444","2","419"
"IPR003152","FATC domain","4","445","2","420"
"IPR003156","DHHA1 domain","4","446","3","346"
"IPR003307","eIF4-gamma/eIF5/eIF2-epsilon","4","447","3","348"
"IPR003364","Seryl-tRNA synthetase N-terminal domain","4","448","4","288"
"IPR003511","HORMA domain","4","449","1","537"
"IPR003648","Splicing factor motif","4","450","2","430"
"IPR004010","Cache domain","4","451","0","Inf"
"IPR004104","Oxidoreductase, C-terminal","4","452","1","559"
"IPR004342","EXS C-terminus","4","453","3","362"
"IPR004462","Desulfoferrodoxin FeS4 iron-binding domain","4","454","2","452"
"IPR000001","Kringle","3","455","0","Inf"
"IPR000054","Ribosomal protein L31e","3","456","0","Inf"
"IPR000089","Biotin / Lipoyl attachment","3","457","0","Inf"
"IPR000119","Bacterial histone-like DNA-binding protein","3","458","0","Inf"
"IPR000156","RanBP1 domain","3","459","2","366"
"IPR000268","RNA polymerases N/8 Kd subunits","3","460","2","373"
"IPR000281","Helix-turn-helix domain, RpiR family","3","461","0","Inf"
"IPR000305","UvrC homology region 1","3","462","2","375"
"IPR000307","Ribosomal protein S16","3","463","2","376"
"IPR000396","cAMP phosphodiesterases class-II","3","464","1","464"
"IPR000421","Coagulation factor 5/8 type C domain (FA58C)","3","465","2","382"
"IPR000540","Flagellar motor protein MotA","3","466","0","Inf"
"IPR000758","Virulence-related outer membrane protein","3","467","0","Inf"
"IPR000781","Enhancer of rudimentary","3","468","1","478"
"IPR000814","Transcription factor TFIID","3","469","3","314"
"IPR000830","Peripherin/rom-1 family","3","470","2","392"
"IPR000909","Phosphatidylinositol-specific phospholipase C, X domain","3","471","1","480"
"IPR001040","Eukaryotic translation initiation factor 4E (eIF-4E)","3","472","3","317"
"IPR001119","S-layer protein (SLH domain)","3","473","1","485"
"IPR001120","Prokaryotic N-terminal methylation site","3","474","0","Inf"
"IPR001194","DENN (AEX-3) domain","3","475","2","396"
"IPR001290","Poly(ADP-ribose) polymerase, catalytic region","3","476","0","Inf"
"IPR001309","ICE-like protease (caspase) p20 domain","3","477","4","269"
"IPR001607","Zn-finger in ubiquitin-hydrolases and other proteins","3","478","3","322"
"IPR001648","Ribosomal protein S18","3","479","0","Inf"
"IPR001653","Diaminopimelate epimerase","3","480","0","Inf"
"IPR001796","Dihydrofolate reductase","3","481","0","Inf"
"IPR001919","Cellulose-binding domain, bacterial type","3","482","1","505"
"IPR001989","Radical activating enzymes","3","483","1","508"
"IPR002073","3'5'-cyclic nucleotide phosphodiesterase","3","484","1","510"
"IPR002126","Cadherin domain","3","485","0","Inf"
"IPR002288","DNA gyrase, subunit B C-terminus","3","486","1","514"
"IPR002477","Putative peptidoglycan binding domain 1","3","487","1","518"
"IPR002539","MaoC-like dehydratase domain","3","488","1","520"
"IPR002652","Importin beta binding domain","3","489","2","410"
"IPR002863","DNA mismatch repair protein MutS family, N-terminal domain","3","490","1","525"
"IPR003014","PAN domain","3","491","2","414"
"IPR003033","SCP-2 sterol transfer domain","3","492","0","Inf"
"IPR003093","Apoptosis regulator protein, Bcl-2 family BH4 domain","3","493","0","Inf"
"IPR003126","Putative zinc finger in N-recognin","3","494","1","531"
"IPR003128","Villin headpiece domain","3","495","2","417"
"IPR003308","Integrase zinc-binding domain","3","496","0","Inf"
"IPR003338","Amino-terminal subdomain, VAT-Nn","3","497","3","349"
"IPR003352","Phosphotransferase system, EIIC","3","498","1","536"
"IPR003581","Tail specific protease","3","499","1","538"
"IPR003595","Protein tyrosine phosphatase, catalytic domain","3","500","2","425"
"IPR003601","DNA topoisomerase I ATP-binding domain","3","501","1","540"
"IPR003645","Follistatin-like N-terminal domain","3","502","3","352"
"IPR003769","DUF174","3","503","1","546"
"IPR003774","DUF179","3","504","1","547"
"IPR003823","CP12","3","505","2","435"
"IPR003829","DUF209","3","506","0","Inf"
"IPR003888","FY-rich domain N-terminus","3","507","2","436"
"IPR003893","Iroquois-class homeodomain protein motif","3","508","3","357"
"IPR003954","RNA recognition_1","3","509","1","552"
"IPR004003","NAD(P) transhydrogenase beta subunit","3","510","0","Inf"
"IPR004017","Domain of unknown function DUF224","3","511","0","Inf"
"IPR004035","Endonuclease III, FCL","3","512","0","Inf"
"IPR004100","ATP synthase alpha and beta subunit, N-terminal","3","513","2","441"
"IPR004101","Cytoplasmic peptidoglycan synthetases, C-terminal","3","514","1","558"
"IPR004106","Prolyl oligopeptidase, N-terminal beta-propeller domain","3","515","3","358"
"IPR004107","Phage integrase N-terminal SAM-like domain","3","516","0","Inf"
"IPR004112","Fumarate reductase/succinate dehydrogenase flavoprotein, C-terminal","3","517","2","442"
"IPR004149","NAD-dependent DNA ligase C4 zinc finger domain","3","518","0","Inf"
"IPR004181","MIZ zinc finger","3","519","3","360"
"IPR004362","Methylglyoxal synthase-like domain","3","520","2","451"
"IPR000077","Ribosomal protein L39e","2","521","0","Inf"
"IPR000098","Interleukin-10 family","2","522","0","Inf"
"IPR000100","Bacterial ribonuclease P protein","2","523","2","364"
"IPR000191","Formamidopyrimidine-DNA glycolase","2","524","2","367"
"IPR000271","Ribosomal protein L34","2","525","0","Inf"
"IPR000289","Ribosomal protein S28e","2","526","1","460"
"IPR000299","Band 4.1 family","2","527","3","305"
"IPR000327","'POU' domain","2","528","1","463"
"IPR000389","Small hydrophilic plant seed protein","2","529","2","379"
"IPR000392","NifH/frxC family","2","530","2","380"
"IPR000489","Dihydropteroate synthase","2","531","1","469"
"IPR000550","7,8-Dihydro-6-hydroxymethylpterin-pyrophosphokinase","2","532","1","471"
"IPR000591","Pleckstrin putative G-protein interacting domain","2","533","2","385"
"IPR000627","Intradiol ring-cleavage dioxygenase","2","534","0","Inf"
"IPR000675","Cutinase","2","535","0","Inf"
"IPR000691","Streptomyces subtilisin-type inhibitor","2","536","0","Inf"
"IPR000713","Cytoplasmic peptidoglycan synthetases, N-terminal","2","537","1","475"
"IPR000737","Serine protease inhibitor, squash family","2","538","1","477"
"IPR000754","Ribosomal protein S9","2","539","3","311"
"IPR000779","Interleukin-2","2","540","2","390"
"IPR000791","GPR1/FUN34/yaaH family","2","541","0","Inf"
"IPR000938","CAP-Gly domain","2","542","2","393"
"IPR000967","Zinc finger NF-X1 type","2","543","2","394"
"IPR000980","Src homology 2 (SH2) domain","2","544","1","483"
"IPR000998","MAM domain","2","545","1","484"
"IPR001031","Thioesterase","2","546","0","Inf"
"IPR001121","Gamma-adaptin, C-terminus","2","547","1","486"
"IPR001127","Sugar-specific permease, EIIA 1 domain","2","548","0","Inf"
"IPR001227","Acyl transferase domain","2","549","1","488"
"IPR001303","Class II Aldolase and Adducin N-terminal domain","2","550","1","489"
"IPR001378","Uncharacterized protein family UPF0066 (VIRR)","2","551","1","493"
"IPR001462","Hepadnaviral P protein C-terminal domain","2","552","0","Inf"
"IPR001523","'Paired box' domain","2","553","1","495"
"IPR001637","Glutamine synthetase class-I adenylation site","2","554","0","Inf"
"IPR001662","Elongation factor 1 gamma chain","2","555","4","273"
"IPR001674","GMP synthase C terminal domain","2","556","1","498"
"IPR001698","F-actin capping protein beta subunit","2","557","1","499"
"IPR001706","Ribosomal protein L35","2","558","1","500"
"IPR001707","Chloramphenicol acetyltransferase","2","559","0","Inf"
"IPR001721","C-terminal domain of threonine dehydratase","2","560","0","Inf"
"IPR001792","Acylphosphatase","2","561","0","Inf"
"IPR001827","'Homeobox' antennapedia-type protein","2","562","1","502"
"IPR001928","Endothelin and related toxins","2","563","0","Inf"
"IPR001942","Neuromedin U","2","564","0","Inf"
"IPR001960","WH1 domain","2","565","1","506"
"IPR001996","PTS (phosphotransferase system) EIIB domain","2","566","0","Inf"
"IPR002026","Urease gamma subunit","2","567","1","509"
"IPR002221","WAP-type (Whey Acidic Protein) four-disulfide core domain","2","568","1","513"
"IPR002223","Pancreatic trypsin inhibitor (Kunitz)","2","569","0","Inf"
"IPR002420","Phosphoinositide 3-kinase C2 domain","2","570","0","Inf"
"IPR002483","PWI domain","2","571","1","519"
"IPR002570","Hpt domain","2","572","0","Inf"
"IPR002713","FF domain","2","573","2","411"
"IPR002719","Retinoblastoma-associated protein B domain","2","574","1","521"
"IPR002720","Retinoblastoma-associated protein A domain","2","575","1","522"
"IPR002734","RibD/ribG C-terminal domain","2","576","1","523"
"IPR002772","Glycoside hydrolase family 3, C terminal","2","577","1","524"
"IPR002871","NifU-like N terminal domain","2","578","2","412"
"IPR002894","HypB/UreG nucleotide-binding domain","2","579","1","526"
"IPR002908","Frataxin-like domain","2","580","0","Inf"
"IPR002938","Monooxygenases FAD binding domain","2","581","1","529"
"IPR002993","Ornithine decarboxylase antizyme","2","582","3","342"
"IPR003123","Vacuolar sorting protein 9 (VPS9) domain","2","583","0","Inf"
"IPR003124","WH2 domain","2","584","2","416"
"IPR003151","FAT domain","2","585","0","Inf"
"IPR003162","Transcription factor TAFII-31","2","586","0","Inf"
"IPR003221","DNA directed RNA polymerase, 7 kDa subunit","2","587","0","Inf"
"IPR003228","Transcription initiation factor TFIID subunit","2","588","2","421"
"IPR003585","Putative band 4.1 homologue","2","589","1","539"
"IPR003608","MIR domain","2","590","2","428"
"IPR003610","Chitin-binding domain type 3","2","591","0","Inf"
"IPR003732","DUF154","2","592","1","543"
"IPR003746","DUF167","2","593","2","433"
"IPR003788","DUF185","2","594","1","549"
"IPR003789","DUF186","2","595","1","550"
"IPR003798","DUF195","2","596","0","Inf"
"IPR003838","DUF214","2","597","0","Inf"
"IPR003858","Surface exposed protein, C-terminus","2","598","0","Inf"
"IPR003889","FY-rich domain C-terminus","2","599","2","437"
"IPR004006","Dak kinase domain","2","600","0","Inf"
"IPR004011","GYR motif","2","601","0","Inf"
"IPR004015","SKIP/SNW domain","2","602","1","554"
"IPR004016","ERCC4 domain","2","603","2","440"
"IPR004098","Prp18 domain","2","604","1","557"
"IPR004111","Tetracyclin repressor, C-terminal","2","605","0","Inf"
"IPR004125","Signal peptide binding (SRP54) M-domain","2","606","2","443"
"IPR004163","Coenzyme A transferase 1","2","607","0","Inf"
"IPR004192","Ubiquinol cytochrome reductase transmembrane region","2","608","2","446"
"IPR004198","C5HC2 zinc finger","2","609","2","447"
"IPR004328","BRO1-like domain","2","610","2","449"
"IPR004568","Phosphopantethiene-protein transferase domain","2","611","1","567"
"IPR004606","Molybdenum-pterin binding domain","2","612","0","Inf"
"IPR004675","Alkylhydroperoxidase AhpD family core domain","2","613","0","Inf"
"IPR000055","Restriction modification system, type I","1","614","0","Inf"
"IPR000157","TIR domain","1","615","1","455"
"IPR000177","Apple domain","1","616","0","Inf"
"IPR000219","Dbl domain (dbl/cdc24 rhoGEF family)","1","617","1","458"
"IPR000237","GRIP domain","1","618","1","459"
"IPR000293","Channel forming colicins","1","619","0","Inf"
"IPR000320","Hedgehog amino-terminal signaling domain","1","620","1","462"
"IPR000334","Glycoside hydrolase family 45","1","621","0","Inf"
"IPR000342","Regulator of G Protein Signaling (RGS) domain","1","622","0","Inf"
"IPR000359","Cystine-knot domain","1","623","0","Inf"
"IPR000445","Helix-hairpin-helix motif","1","624","1","467"
"IPR000532","Glucagon / GIP / secretin / VIP family","1","625","1","470"
"IPR000601","PKD domain","1","626","0","Inf"
"IPR000773","Granulocyte-macrophage colony-stimulating factor","1","627","0","Inf"
"IPR000800","Notch (DSL) domain","1","628","0","Inf"
"IPR000857","Core domain in kinesin and myosin motors","1","629","0","Inf"
