"Additional File 2. COGs present in the seven E. faecium genomes"
,,,
,,,,,,"Strainsb",,,
"EfmE1162_1666","COG1132","V","ABC-type multidrug transport system, ATPase and permease components"
"EfmE1162_1667","COG1132","V","ABC-type multidrug transport system, ATPase and permease components"
"EfmE1162_1738","COG1132","V","ABC-type multidrug transport system, ATPase and permease components"
"EfmE1162_1739","COG1132","V","ABC-type multidrug transport system, ATPase and permease components"
"EfmE1162_1862","COG1132","V","ABC-type multidrug transport system, ATPase and permease components"
"EfmE1162_1863","COG1132","V","ABC-type multidrug transport system, ATPase and permease components"
"EfmE1162_2336","COG1132","V","ABC-type multidrug transport system, ATPase and permease components"
"EfmE1162_2337","COG1132","V","ABC-type multidrug transport system, ATPase and permease components"
"EfmE1162_2686","COG1132","V","ABC-type multidrug transport system, ATPase and permease components"
"EfmE1162_2687","COG1132","V","ABC-type multidrug transport system, ATPase and permease components"
"EfmE1162_0881","COG1134","GM","ABC-type polysaccharide/polyol phosphate transport system, ATPase component"
"EfmE1162_0180","COG1135","P","ABC-type metal ion transport system, ATPase component"
"EfmE1162_2169","COG1135","P","ABC-type metal ion transport system, ATPase component"
"EfmE1162_0214","COG1136","V","ABC-type antimicrobial peptide transport system, ATPase component"
"EfmE1162_0238","COG1136","V","ABC-type antimicrobial peptide transport system, ATPase component"
"EfmE1162_0265","COG1136","V","ABC-type antimicrobial peptide transport system, ATPase component"
"EfmE1162_0746","COG1136","V","ABC-type antimicrobial peptide transport system, ATPase component"
"EfmE1162_1259","COG1136","V","ABC-type antimicrobial peptide transport system, ATPase component"
"EfmE1162_1273","COG1136","V","ABC-type antimicrobial peptide transport system, ATPase component"
"EfmE1162_1459","COG1136","V","ABC-type antimicrobial peptide transport system, ATPase component"
"EfmE1162_1470","COG1136","V","ABC-type antimicrobial peptide transport system, ATPase component"
"EfmE1162_2080","COG1141","C","Ferredoxin"
"EfmE1162_1208","COG1154","HI","Deoxyxylulose-5-phosphate synthase"
"EfmE1162_0726","COG1155","C","Archaeal/vacuolar-type H+-ATPase subunit A"
"EfmE1162_0725","COG1156","C","Archaeal/vacuolar-type H+-ATPase subunit B"
"EfmE1162_0290","COG1158","K","Transcription termination factor"
"EfmE1162_0122","COG1159","R","GTPase"
"EfmE1162_2086","COG1160","R","Predicted GTPases"
"EfmE1162_1971","COG1161","R","Predicted GTPases"
"EfmE1162_2110","COG1161","R","Predicted GTPases"
"EfmE1162_2431","COG1162","R","Predicted GTPases"
"EfmE1162_0597","COG1164","E","Oligoendopeptidase F"
"EfmE1162_1883","COG1164","E","Oligoendopeptidase F"
"EfmE1162_0721","COG1167","KE","Transcriptional regulators containing a DNA-binding HTH domain and an aminotransferase domain (MocR family) and their eukaryotic orthologs"
"EfmE1162_2456","COG1167","KE","Transcriptional regulators containing a DNA-binding HTH domain and an aminotransferase domain (MocR family) and their eukaryotic orthologs"
"EfmE1162_1296","COG1168","E","Bifunctional PLP-dependent enzyme with beta-cystathionase and maltose regulon repressor activities"
"EfmE1162_1622","COG1173","EP","ABC-type dipeptide/oligopeptide/nickel transport systems, permease components"
"EfmE1162_1721","COG1173","EP","ABC-type dipeptide/oligopeptide/nickel transport systems, permease components"
"EfmE1162_0927","COG1174","E","ABC-type proline/glycine betaine transport systems, permease component"
"EfmE1162_0929","COG1174","E","ABC-type proline/glycine betaine transport systems, permease component"
"EfmE1162_0368","COG1175","G","ABC-type sugar transport systems, permease components"
"EfmE1162_0637","COG1175","G","ABC-type sugar transport systems, permease components"
"EfmE1162_0744","COG1175","G","ABC-type sugar transport systems, permease components"
"EfmE1162_0800","COG1175","G","ABC-type sugar transport systems, permease components"
"EfmE1162_0852","COG1175","G","ABC-type sugar transport systems, permease components"
"EfmE1162_1646","COG1175","G","ABC-type sugar transport systems, permease components"
"EfmE1162_2212","COG1175","G","ABC-type sugar transport systems, permease components"
"EfmE1162_2312","COG1175","G","ABC-type sugar transport systems, permease components"
"EfmE1162_2484","COG1175","G","ABC-type sugar transport systems, permease components"
"EfmE1162_1910","COG1176","E","ABC-type spermidine/putrescine transport system, permease component I"
"EfmE1162_1911","COG1177","E","ABC-type spermidine/putrescine transport system, permease component II"
"EfmE1162_2125","COG1180","O","Pyruvate-formate lyase-activating enzyme"
"EfmE1162_0911","COG1181","M","D-alanine-D-alanine ligase and related ATP-grasp enzymes"
"EfmE1162_1629","COG1181; COG2918","MH","D-alanine-D-alanine ligase and related ATP-grasp enzymes; Gamma-glutamylcysteine synthetase"
"EfmE1162_1663","COG1182","I","Acyl carrier protein phosphodiesterase"
"EfmE1162_2366","COG1185","J","Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase)"
"EfmE1162_1024","COG1186","J","Protein chain release factor B"
"EfmE1162_2073","COG1187","J","16S rRNA uridine-516 pseudouridylate synthase and related pseudouridylate synthases"
"EfmE1162_2373","COG1187","J","16S rRNA uridine-516 pseudouridylate synthase and related pseudouridylate synthases"
"EfmE1162_2672","COG1187","J","16S rRNA uridine-516 pseudouridylate synthase and related pseudouridylate synthases"
"EfmE1162_1891","COG1188","J","Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit (S4 paralog)"
"EfmE1162_1132","COG1189","J","Predicted rRNA methylase"
"EfmE1162_1899","COG1190","J","Lysyl-tRNA synthetase (class II)"
"EfmE1162_2350","COG1191","K","DNA-directed RNA polymerase specialized sigma subunit"
"EfmE1162_0302","COG1192","D","ATPases involved in chromosome partitioning"
"EfmE1162_0395","COG1192","D","ATPases involved in chromosome partitioning"
"EfmE1162_1934","COG1192","D","ATPases involved in chromosome partitioning"
"EfmE1162_0739","COG1193","L","Mismatch repair ATPase (MutS family)"
"EfmE1162_1415","COG1193","L","Mismatch repair ATPase (MutS family)"
"EfmE1162_2000","COG1194","L","A/G-specific DNA glycosylase"
"EfmE1162_1946","COG1195","L","Recombinational DNA repair ATPase (RecF pathway)"
"EfmE1162_1626","COG1196","D","Chromosome segregation ATPases"
"EfmE1162_1889","COG1197","LK","Transcription-repair coupling factor (superfamily II helicase)"
"EfmE1162_0153","COG1198","L","Primosomal protein N' (replication factor Y) - superfamily II helicase"
"EfmE1162_2425","COG1198","L","Primosomal protein N' (replication factor Y) - superfamily II helicase"
"EfmE1162_2622","COG1199","KL","Rad3-related DNA helicases"
"EfmE1162_0441","COG1199; COG0847","KLL","Rad3-related DNA helicases; DNA polymerase III, epsilon subunit and related 3'-5' exonucleases"
"EfmE1162_1616","COG1200","LK","RecG-like helicase"
"EfmE1162_2114","COG1206","J","NAD(FAD)-utilizing enzyme possibly involved in translation"
"EfmE1162_2414","COG1207","M","N-acetylglucosamine-1-phosphate uridyltransferase (contains nucleotidyltransferase and I-patch acetyltransferase domains)"
"EfmE1162_0888","COG1209","M","dTDP-glucose pyrophosphorylase"
"EfmE1162_0091","COG1210","M","UDP-glucose pyrophosphorylase"
"EfmE1162_1749","COG1210","M","UDP-glucose pyrophosphorylase"
"EfmE1162_2274","COG1211","I","4-diphosphocytidyl-2-methyl-D-erithritol synthase"
"EfmE1162_0081","COG1214","O","Inactive homolog of metal-dependent proteases, putative molecular chaperone"
"EfmE1162_1505","COG1215","M","Glycosyltransferases, probably involved in cell wall biogenesis"
"EfmE1162_0891","COG1216","R","Predicted glycosyltransferases"
"EfmE1162_2449","COG1217","T","Predicted membrane GTPase involved in stress response"
"EfmE1162_0488","COG1219","O","ATP-dependent protease Clp, ATPase subunit"
"EfmE1162_2117","COG1220","O","ATP-dependent protease HslVU (ClpYQ), ATPase subunit"
"EfmE1162_0245","COG1221; COG3933","KTK","Transcriptional regulators containing an AAA-type ATPase domain and a DNA-binding domain; Transcriptional antiterminator"
"EfmE1162_1103","COG1221; COG3933","KTK","Transcriptional regulators containing an AAA-type ATPase domain and a DNA-binding domain; Transcriptional antiterminator"
"EfmE1162_1450","COG1221; COG3933","KTK","Transcriptional regulators containing an AAA-type ATPase domain and a DNA-binding domain; Transcriptional antiterminator"
"EfmE1162_1741","COG1221; COG3933","KTK","Transcriptional regulators containing an AAA-type ATPase domain and a DNA-binding domain; Transcriptional antiterminator"
"EfmE1162_1914","COG1221; COG3933","KTK","Transcriptional regulators containing an AAA-type ATPase domain and a DNA-binding domain; Transcriptional antiterminator"
"EfmE1162_2126","COG1227","C","Inorganic pyrophosphatase/exopolyphosphatase"
"EfmE1162_2009","COG1230","P","Co/Zn/Cd efflux system component"
"EfmE1162_0256","COG1234","R","Metal-dependent hydrolases of the beta-lactamase superfamily III"
"EfmE1162_0995","COG1234","R","Metal-dependent hydrolases of the beta-lactamase superfamily III"
"EfmE1162_0507","COG1235","R","Metal-dependent hydrolases of the beta-lactamase superfamily I"
"EfmE1162_2694","COG1242","R","Predicted Fe-S oxidoreductase"
"EfmE1162_0469","COG1249","C","Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component, and related enzymes"
"EfmE1162_2139","COG1249","C","Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component, and related enzymes"
"EfmE1162_2224","COG1249","C","Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component, and related enzymes"
"EfmE1162_2452","COG1249","C","Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component, and related enzymes"
"EfmE1162_2296","COG1252","C","NADH dehydrogenase, FAD-containing subunit"
"EfmE1162_1996","COG1253","R","Hemolysins and related proteins containing CBS domains"
"EfmE1162_2369","COG1253","R","Hemolysins and related proteins containing CBS domains"
"EfmE1162_0453","COG1254","C","Acylphosphatases"
"EfmE1162_2379","COG1256","N","Flagellar hook-associated protein"
"EfmE1162_2049","COG1257","I","Hydroxymethylglutaryl-CoA reductase"
"EfmE1162_0243","COG1263; COG1264","GG","Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific; Phosphotransferase system IIB components"
"EfmE1162_1447","COG1263; COG1264","GG","Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific; Phosphotransferase system IIB components"
"EfmE1162_2549","COG1263; COG1264","GG","Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific; Phosphotransferase system IIB components"
"EfmE1162_0104","COG1263; COG1264; COG2190","GGG","Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific; Phosphotransferase system IIB components; Phosphotransferase system IIA components"
"EfmE1162_0166","COG1263; COG2190; COG1264","GGG","Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific; Phosphotransferase system IIA components; Phosphotransferase system IIB components"
"EfmE1162_0199","COG1263; COG2190; COG1264","GGG","Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific; Phosphotransferase system IIA components; Phosphotransferase system IIB components"
"EfmE1162_1404","COG1263; COG2190; COG1264","GGG","Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific; Phosphotransferase system IIA components; Phosphotransferase system IIB components"
"EfmE1162_1485","COG1263; COG2190; COG1264","GGG","Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific; Phosphotransferase system IIA components; Phosphotransferase system IIB components"
"EfmE1162_1806","COG1263; COG2190; COG1264","GGG","Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific; Phosphotransferase system IIA components; Phosphotransferase system IIB components"
"EfmE1162_2513","COG1263; COG2190; COG1264","GGG","Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific; Phosphotransferase system IIA components; Phosphotransferase system IIB components"
"EfmE1162_0504","COG1266","R","Predicted metal-dependent membrane protease"
"EfmE1162_1150","COG1266","R","Predicted metal-dependent membrane protease"
"EfmE1162_1701","COG1266","R","Predicted metal-dependent membrane protease"
"EfmE1162_1293","COG1267","I","Phosphatidylglycerophosphatase A and related proteins"
"EfmE1162_2525","COG1268","R","Uncharacterized conserved protein"
"EfmE1162_0731","COG1269","C","Archaeal/vacuolar-type H+-ATPase subunit I"
"EfmE1162_2100","COG1272","R","Predicted membrane protein, hemolysin III homolog"
"EfmE1162_2174","COG1275","P","Tellurite resistance protein and related permeases"
"EfmE1162_0163","COG1277","R","ABC-type transport system involved in multi-copper enzyme maturation, permease component"
"EfmE1162_1826","COG1277","R","ABC-type transport system involved in multi-copper enzyme maturation, permease component"
"EfmE1162_0040","COG1278","K","Cold shock proteins"
"EfmE1162_0426","COG1278","K","Cold shock proteins"
"EfmE1162_0442","COG1278","K","Cold shock proteins"
"EfmE1162_1175","COG1278","K","Cold shock proteins"
"EfmE1162_2006","COG1278","K","Cold shock proteins"
"EfmE1162_1897","COG1281","O","Disulfide bond chaperones of the HSP33 family"
"EfmE1162_0371","COG1284","S","Uncharacterized conserved protein"
"EfmE1162_1340","COG1284","S","Uncharacterized conserved protein"
"EfmE1162_2091","COG1284","S","Uncharacterized conserved protein"
"EfmE1162_2135","COG1284","S","Uncharacterized conserved protein"
"EfmE1162_2620","COG1284","S","Uncharacterized conserved protein"
"EfmE1162_2674","COG1284","S","Uncharacterized conserved protein"
"EfmE1162_1877","COG1285","S","Uncharacterized membrane protein"
"EfmE1162_0740","COG1286","R","Uncharacterized membrane protein, required for colicin V production"
"EfmE1162_1753","COG1288","S","Predicted membrane protein"
"EfmE1162_2077","COG1288","S","Predicted membrane protein"
"EfmE1162_0495","COG1289","S","Predicted membrane protein"
"EfmE1162_0060","COG1293","K","Predicted RNA-binding protein homologous to eukaryotic snRNP"
"EfmE1162_0061","COG1293","K","Predicted RNA-binding protein homologous to eukaryotic snRNP"
"EfmE1162_0893","COG1295","S","Predicted membrane protein"
"EfmE1162_0347","COG1296","E","Predicted branched-chain amino acid permease (azaleucine resistance)"
"EfmE1162_1815","COG1296","E","Predicted branched-chain amino acid permease (azaleucine resistance)"
"EfmE1162_0196","COG1299","G","Phosphotransferase system, fructose-specific IIC component"
"EfmE1162_0287","COG1299; COG1445","GG","Phosphotransferase system, fructose-specific IIC component; Phosphotransferase system fructose-specific component IIB"
"EfmE1162_0466","COG1299; COG1445","GG","Phosphotransferase system, fructose-specific IIC component; Phosphotransferase system fructose-specific component IIB"
"EfmE1162_0665","COG1299; COG1762; COG1445","GGTG","Phosphotransferase system, fructose-specific IIC component; Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type); Phosphotransferase system fructose-specific component IIB"
"EfmE1162_2019","COG1299; COG1762; COG1445","GGTG","Phosphotransferase system, fructose-specific IIC component; Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type); Phosphotransferase system fructose-specific component IIB"
"EfmE1162_1138","COG1302","S","Uncharacterized protein conserved in bacteria"
"EfmE1162_1192","COG1302","S","Uncharacterized protein conserved in bacteria"
"EfmE1162_1201","COG1302","S","Uncharacterized protein conserved in bacteria"
"EfmE1162_1614","COG1302","S","Uncharacterized protein conserved in bacteria"
"EfmE1162_0519","COG1304","C","L-lactate dehydrogenase (FMN-dependent) and related alpha-hydroxy acid dehydrogenases"
"EfmE1162_0754","COG1304","C","L-lactate dehydrogenase (FMN-dependent) and related alpha-hydroxy acid dehydrogenases"
"EfmE1162_0955","COG1304","C","L-lactate dehydrogenase (FMN-dependent) and related alpha-hydroxy acid dehydrogenases"
"EfmE1162_0871","COG1305","E","Transglutaminase-like enzymes, putative cysteine proteases"
"EfmE1162_0344","COG1307","S","Uncharacterized protein conserved in bacteria"
"EfmE1162_0512","COG1307","S","Uncharacterized protein conserved in bacteria"
"EfmE1162_2101","COG1307","S","Uncharacterized protein conserved in bacteria"
"EfmE1162_2657","COG1307","S","Uncharacterized protein conserved in bacteria"
"EfmE1162_0529","COG1309","K","Transcriptional regulator"
"EfmE1162_0745","COG1309","K","Transcriptional regulator"
"EfmE1162_0896","COG1309","K","Transcriptional regulator"
"EfmE1162_1258","COG1309","K","Transcriptional regulator"
"EfmE1162_1283","COG1309","K","Transcriptional regulator"
"EfmE1162_1495","COG1309","K","Transcriptional regulator"
"EfmE1162_1665","COG1309","K","Transcriptional regulator"
"EfmE1162_1861","COG1309","K","Transcriptional regulator"
"EfmE1162_2181","COG1309","K","Transcriptional regulator"
"EfmE1162_2222","COG1309","K","Transcriptional regulator"
"EfmE1162_2332","COG1309","K","Transcriptional regulator"
"EfmE1162_2508","COG1309","K","Transcriptional regulator"
"EfmE1162_0378","COG1312","G","D-mannonate dehydratase"
"EfmE1162_1171","COG1312","G","D-mannonate dehydratase"
"EfmE1162_0697","COG1314","U","Preprotein translocase subunit SecG"
"EfmE1162_0218","COG1316","K","Transcriptional regulator"
"EfmE1162_0632","COG1316","K","Transcriptional regulator"
"EfmE1162_1215","COG1316","K","Transcriptional regulator"
"EfmE1162_1235","COG1316","K","Transcriptional regulator"
"EfmE1162_2005","COG1316","K","Transcriptional regulator"
"EfmE1162_1109","COG1321","K","Mn-dependent transcriptional regulator"
"EfmE1162_2331","COG1321","K","Mn-dependent transcriptional regulator"
"EfmE1162_1965","COG1323","R","Predicted nucleotidyltransferase"
"EfmE1162_0613","COG1327","K","Predicted transcriptional regulator, consists of a Zn-ribbon and ATP-cone domains"
"EfmE1162_0266","COG1328","F","Oxygen-sensitive ribonucleoside-triphosphate reductase"
"EfmE1162_0239","COG1335","Q","Amidases related to nicotinamidase"
"EfmE1162_1156","COG1335","Q","Amidases related to nicotinamidase"
"EfmE1162_1183","COG1335","Q","Amidases related to nicotinamidase"
"EfmE1162_2194","COG1335","Q","Amidases related to nicotinamidase"
"EfmE1162_2223","COG1335","Q","Amidases related to nicotinamidase"
"EfmE1162_2530","COG1346","M","Putative effector of murein hydrolase"
"EfmE1162_0285","COG1349","KG","Transcriptional regulators of sugar metabolism"
"EfmE1162_0667","COG1349","KG","Transcriptional regulators of sugar metabolism"
"EfmE1162_1226","COG1349","KG","Transcriptional regulators of sugar metabolism"
"EfmE1162_1551","COG1349","KG","Transcriptional regulators of sugar metabolism"
"EfmE1162_2026","COG1349","KG","Transcriptional regulators of sugar metabolism"
"EfmE1162_2652","COG1349","KG","Transcriptional regulators of sugar metabolism"
"EfmE1162_2071","COG1354","S","Uncharacterized conserved protein"
"EfmE1162_0961","COG1357","S","Uncharacterized low-complexity proteins"
"EfmE1162_1702","COG1357","S","Uncharacterized low-complexity proteins"
"EfmE1162_0855","COG1358","J","Ribosomal protein HS6-type (S12/L30/L7a)"
"EfmE1162_2681","COG1359","S","Uncharacterized conserved protein"
"EfmE1162_0258","COG1363","G","Cellulase M and related proteins"
"EfmE1162_0977","COG1363","G","Cellulase M and related proteins"
"EfmE1162_0186","COG1368","M","Phosphoglycerol transferase and related proteins, alkaline phosphatase superfamily"
"EfmE1162_1520","COG1368","M","Phosphoglycerol transferase and related proteins, alkaline phosphatase superfamily"
"EfmE1162_1657","COG1368","M","Phosphoglycerol transferase and related proteins, alkaline phosphatase superfamily"
"EfmE1162_1852","COG1368","M","Phosphoglycerol transferase and related proteins, alkaline phosphatase superfamily"
"EfmE1162_1886","COG1376","S","Uncharacterized protein conserved in bacteria"
"EfmE1162_2531","COG1380","R","Putative effector of murein hydrolase LrgA"
"EfmE1162_0123","COG1381","L","Recombinational DNA repair protein (RecF pathway)"
"EfmE1162_1347","COG1385","S","Uncharacterized protein conserved in bacteria"
"EfmE1162_2072","COG1386","K","Predicted transcriptional regulator containing the HTH domain"
"EfmE1162_0343","COG1387","ER","Histidinol phosphatase and related hydrolases of the PHP family"
"EfmE1162_2692","COG1388; COG1705","MNU","FOG: LysM repeat; Muramidase (flagellum-specific)"
"EfmE1162_0223","COG1393","P","Arsenate reductase and related proteins, glutaredoxin family"
"EfmE1162_0224","COG1393","P","Arsenate reductase and related proteins, glutaredoxin family"
"EfmE1162_0600","COG1393","P","Arsenate reductase and related proteins, glutaredoxin family"
"EfmE1162_1155","COG1393","P","Arsenate reductase and related proteins, glutaredoxin family"
"EfmE1162_2040","COG1393","P","Arsenate reductase and related proteins, glutaredoxin family"
"EfmE1162_2171","COG1393","P","Arsenate reductase and related proteins, glutaredoxin family"
"EfmE1162_0724","COG1394","C","Archaeal/vacuolar-type H+-ATPase subunit D"
"EfmE1162_0185","COG1396","K","Predicted transcriptional regulators"
"EfmE1162_0779","COG1396","K","Predicted transcriptional regulators"
"EfmE1162_0899","COG1396","K","Predicted transcriptional regulators"
"EfmE1162_1086","COG1396","K","Predicted transcriptional regulators"
"EfmE1162_1088","COG1396","K","Predicted transcriptional regulators"
"EfmE1162_1180","COG1396","K","Predicted transcriptional regulators"
"EfmE1162_1227","COG1396","K","Predicted transcriptional regulators"
"EfmE1162_1908","COG1396","K","Predicted transcriptional regulators"
"EfmE1162_1923","COG1396","K","Predicted transcriptional regulators"
"EfmE1162_1924","COG1396","K","Predicted transcriptional regulators"
"EfmE1162_2147","COG1396","K","Predicted transcriptional regulators"
"EfmE1162_2152","COG1396","K","Predicted transcriptional regulators"
"EfmE1162_2160","COG1396","K","Predicted transcriptional regulators"
"EfmE1162_2502","COG1396","K","Predicted transcriptional regulators"
"EfmE1162_0216","COG1396; COG5294","KS","Predicted transcriptional regulators; Uncharacterized protein conserved in bacteria"
"EfmE1162_0042","COG1399","R","Predicted metal-binding, possibly nucleic acid-binding protein"
"EfmE1162_1319","COG1399","R","Predicted metal-binding, possibly nucleic acid-binding protein"
"EfmE1162_1333","COG1409","R","Predicted phosphohydrolases"
"EfmE1162_0950","COG1414","K","Transcriptional regulator"
"EfmE1162_1512","COG1416","S","Uncharacterized conserved protein"
"EfmE1162_0027","COG1418","R","Predicted HD superfamily hydrolase"
"EfmE1162_0451","COG1418","R","Predicted HD superfamily hydrolase"
"EfmE1162_2406","COG1418","R","Predicted HD superfamily hydrolase"
"EfmE1162_0834","COG1420","K","Transcriptional regulator of heat shock gene"
"EfmE1162_2402","COG1426","S","Uncharacterized protein conserved in bacteria"
"EfmE1162_0191","COG1428","F","Deoxynucleoside kinases"
"EfmE1162_0228","COG1428","F","Deoxynucleoside kinases"
"EfmE1162_0959","COG1428","F","Deoxynucleoside kinases"
"EfmE1162_0448","COG1434","S","Uncharacterized conserved protein"
"EfmE1162_0621","COG1434","S","Uncharacterized conserved protein"
"EfmE1162_1692","COG1435","F","Thymidine kinase"
"EfmE1162_0727","COG1436","C","Archaeal/vacuolar-type H+-ATPase subunit F"
"EfmE1162_0809","COG1438","K","Arginine repressor"
"EfmE1162_1131","COG1438","K","Arginine repressor"
"EfmE1162_2229","COG1438","K","Arginine repressor"
"EfmE1162_1019","COG1440","G","Phosphotransferase system cellobiose-specific component IIB"
"EfmE1162_1102","COG1440","G","Phosphotransferase system cellobiose-specific component IIB"
"EfmE1162_1307","COG1440","G","Phosphotransferase system cellobiose-specific component IIB"
"EfmE1162_2680","COG1440","G","Phosphotransferase system cellobiose-specific component IIB"
"EfmE1162_1185","COG1442","M","Lipopolysaccharide biosynthesis proteins, LPS:glycosyltransferases"
"EfmE1162_1186","COG1442","M","Lipopolysaccharide biosynthesis proteins, LPS:glycosyltransferases"
"EfmE1162_1101","COG1447","G","Phosphotransferase system cellobiose-specific component IIA"
"EfmE1162_1308","COG1447","G","Phosphotransferase system cellobiose-specific component IIA"
"EfmE1162_1553","COG1447","G","Phosphotransferase system cellobiose-specific component IIA"
"EfmE1162_2678","COG1447","G","Phosphotransferase system cellobiose-specific component IIA"
"EfmE1162_0949","COG1454","C","Alcohol dehydrogenase, class IV"
"EfmE1162_0505","COG1455","G","Phosphotransferase system cellobiose-specific component IIC"
"EfmE1162_1100","COG1455","G","Phosphotransferase system cellobiose-specific component IIC"
"EfmE1162_1305","COG1455","G","Phosphotransferase system cellobiose-specific component IIC"
"EfmE1162_1309","COG1455","G","Phosphotransferase system cellobiose-specific component IIC"
"EfmE1162_1554","COG1455","G","Phosphotransferase system cellobiose-specific component IIC"
"EfmE1162_2035","COG1455","G","Phosphotransferase system cellobiose-specific component IIC"
"EfmE1162_2546","COG1455","G","Phosphotransferase system cellobiose-specific component IIC"
"EfmE1162_2676","COG1455","G","Phosphotransferase system cellobiose-specific component IIC"
"EfmE1162_1364","COG1459","NU","Type II secretory pathway, component PulF"
"EfmE1162_1615","COG1461","R","Predicted kinase related to dihydroxyacetone kinase"
"EfmE1162_0178","COG1464","P","ABC-type metal ion transport system, periplasmic component/surface antigen"
"EfmE1162_2167","COG1464","P","ABC-type metal ion transport system, periplasmic component/surface antigen"
"EfmE1162_2632","COG1466","L","DNA polymerase III, delta subunit"
"EfmE1162_0177","COG1473","R","Metal-dependent amidase/aminoacylase/carboxypeptidase"
"EfmE1162_2255","COG1473","R","Metal-dependent amidase/aminoacylase/carboxypeptidase"
"EfmE1162_1933","COG1475","K","Predicted transcriptional regulators"
"EfmE1162_2294","COG1477","H","Membrane-associated lipoprotein involved in thiamine biosynthesis"
"EfmE1162_0119","COG1480","R","Predicted membrane-associated HD superfamily hydrolase"
"EfmE1162_0820","COG1481","S","Uncharacterized protein conserved in bacteria"
"EfmE1162_1671","COG1482","G","Phosphomannose isomerase"
"EfmE1162_0329","COG1484","L","DNA replication protein"
"EfmE1162_0611","COG1484","L","DNA replication protein"
"EfmE1162_0107","COG1486","G","Alpha-galactosidases/6-phospho-beta-glucosidases, family 4 of glycosyl hydrolases"
"EfmE1162_2548","COG1486","G","Alpha-galactosidases/6-phospho-beta-glucosidases, family 4 of glycosyl hydrolases"
"EfmE1162_1641","COG1488","H","Nicotinic acid phosphoribosyltransferase"
"EfmE1162_1106","COG1489","R","DNA-binding protein, stimulates sugar fermentation"
"EfmE1162_1345","COG1490","J","D-Tyr-tRNAtyr deacylase"
"EfmE1162_0088","COG1493","T","Serine kinase of the HPr protein, regulates carbohydrate metabolism"
"EfmE1162_1027","COG1502","I","Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthases and related enzymes"
"EfmE1162_2043","COG1502","I","Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthases and related enzymes"
"EfmE1162_0708","COG1508","K","DNA-directed RNA polymerase specialized sigma subunit, sigma54 homolog"
"EfmE1162_0920","COG1511","S","Predicted membrane protein"
"EfmE1162_0280","COG1512","R","Beta-propeller domains of methanol dehydrogenase type"
"EfmE1162_0728","COG1527","C","Archaeal/vacuolar-type H+-ATPase subunit C"
"EfmE1162_1970","COG1534","J","Predicted RNA-binding protein containing KH domain, possibly ribosomal protein"
"EfmE1162_1022","COG1544","J","Ribosome-associated protein Y (PSrp-1)"
"EfmE1162_1486","COG1554","G","Trehalose and maltose hydrolases (possible phosphorylases)"
"EfmE1162_2317","COG1554","G","Trehalose and maltose hydrolases (possible phosphorylases)"
"EfmE1162_2637","COG1555","L","DNA uptake protein and related DNA-binding proteins"
"EfmE1162_2283","COG1559","R","Predicted periplasmic solute-binding protein"
"EfmE1162_2420","COG1561","S","Uncharacterized stress-induced protein"
"EfmE1162_2433","COG1564","H","Thiamine pyrophosphokinase"
"EfmE1162_1135","COG1570","L","Exonuclease VII, large subunit"
"EfmE1162_0249","COG1573","L","Uracil-DNA glycosylase"
"EfmE1162_2293","COG1575","H","1,4-dihydroxy-2-naphthoate octaprenyltransferase"
"EfmE1162_0983","COG1576","S","Uncharacterized conserved protein"
"EfmE1162_0956","COG1577","I","Mevalonate kinase"
"EfmE1162_0958","COG1577","I","Mevalonate kinase"
"EfmE1162_1119","COG1589","M","Cell division septal protein"
"EfmE1162_0941","COG1593","G","TRAP-type C4-dicarboxylate transport system, large permease component"
"EfmE1162_0711","COG1595","K","DNA-directed RNA polymerase specialized sigma subunit, sigma24 homolog"
"EfmE1162_1419","COG1595","K","DNA-directed RNA polymerase specialized sigma subunit, sigma24 homolog"
"EfmE1162_1777","COG1595","K","DNA-directed RNA polymerase specialized sigma subunit, sigma24 homolog"
"EfmE1162_2146","COG1595","K","DNA-directed RNA polymerase specialized sigma subunit, sigma24 homolog"
"EfmE1162_2353","COG1596","M","Periplasmic protein involved in polysaccharide export"
